ExchangeName;Country;Capitalization;Capitalization/GDP;Value traded (EOB Total);Value traded (Total)/GDP;Share turnover velocity;Capitalization/Number of listed companies (Total);Number of listed companies (Total);Number of listed companies (Foreign)/Number of listed companies (Total);Number of listed companies (Domestic)/Population;Number of listed companies (Domestic);Number of listed companies (Foreign);Number of new listings through IPO (Total);Number of trades (EOB);GDP;Population
Ghana Stock Exchange;Ghana;6463,66;89,4711;164,31;sty.00;0,0254;179,5461;36;0,1667;0,9351;30;6;0;22.sty;72,243;32,082
Lusaka Securities Exchange;Zambia;4037,23;135,7417;30,81;1,0359;0,0076;183,5105;22;0;1,099;22;0;0;20.sty;29,742;20,018
Warsaw Stock Exchange;Poland;147657,24;213,7853;65881,69;95,3867;0,4462;184,8026;799;0,0325;20,529;773;26;16;34662,46;690,68;37,654
Muscat Stock Exchange;Oman;22267,53;194,193;2314,26;20,1824;0,1039;202,4321;110;0;22,2943;110;0;1;134,47;114,667;4,934
Zagreb Stock Exchange;Croatia;19335,49;274,0757;243,64;sty.00;0,0126;212,4779;91;0;23,6118;91;0;1;80,34;70,548;3,854
Dar Es Salaam Stock Exchange;Tanzania;6696,87;86,899;57,07;0,7405;0,0085;239,1739;28;0,2143;0,3577;22;6;0;sty.00;77,065;61,51
Bolsa Nacional de Valores;Costa Rica;2232,06;32,6453;43,71;0,6393;0,0196;248,0067;9;0;sty.00;9;0;0;0,46;68,373;5,229
Nairobi Securities Exchange;Kenya;16107,68;141,667;764,73;sty.00;0,0475;264,0603;61;0,0328;1,1651;59;2;0;272,94;113,701;50,64
BRVM;"Benin; Burkina Faso; C te d'Ivoire; Guinea-Bissau; Mali; Niger; Senegal; Togo";12292,97;68,7611;279,01;sty.00;0,0227;267,2385;46;0;0,3247;46;0;1;113,85;178,778;141,657
Kazakhstan Stock Exchange;Kazakhstan;45705,58;202,6594;410,85;sty.00;0,009;321,8703;142;0,4085;sty.00;84;58;0;422,65;225,529;19,767
Ljubljana Stock Exchange;Slovenia;8171,27;135,9364;415,48;sty.00;0,0508;340,4696;24;0;sty.00;24;0;0;46,84;60,111;2,107
Rwanda Stock Exchange;Rwanda;3444,67;258,8226;16,75;sty.00;0,0049;344,467;10;0,5;0,3775;5;5;0;611;13,309;13,246
Bucharest Stock Exchange;Romania;28983,93;96,2049;2501,65;sty.00;0,0863;349,204;83;0,0241;sty.00;81;2;0;1198,37;301,273;19,042
Bolsa de Valores de Lima;Peru;71314,93;291,5645;2505,14;10,242;0,0351;354,8006;201;0,0746;sty.00;186;15;0;122,82;244,594;34,167
